site_id,m_host,prefixes,post response
1656420870174025496,HPNTRP01,['10.96.68.0/22'],
1663958270147010796,ATLAAP01,['10.121.104.0/22'],
1663958092277014596,INDFAP01,['10.134.32.0/22'],
1662748928836023396,HOBFIP01,['10.155.152.0/22'],
1663958049278021896,INDAPP01,['10.129.28.0/22'],
1663957577043008996,CHIBHP01,['10.63.112.0/22'],
1662748989344003796,HOBTSP01,['10.158.0.0/22'],
1663958147967024296,ATLAMP01,['10.123.208.0/22'],
1663958007317009196,CHSCYP01,['10.113.200.0/22'],
1663958197539025296,ATLMDP01,['10.121.152.0/22'],
1664362387933000496,MKZCYP01,['10.178.4.0/22'],
1659564730564022996,PNCRIP01,['10.156.136.0/22'],
1663957374866017296,CHIBWP01,['10.63.116.0/22'],
1663958321171024196,PDXAPP01,['10.156.164.0/22'],
1663957814329004296,SLCRIP01,['10.146.212.0/22'],
1659562949710008096,FSDTSP01,['10.136.128.0/22'],
1664545886608015996,GNVNWP01,['10.125.44.0/22'],
1664546532209003296,PHLBWP01,['10.101.104.0/22'],
1664545589515000396,CSGSHP01,['10.119.108.0/22'],
1660916924782009996,ILETSP01,['10.153.208.0/22'],
1664545705147016996,DALTSP01,['10.149.44.0/22'],
1664818275750010196,ATLAUP01,['10.37.248.0/22'],
1664546398774006896,LASHDP01,['10.156.92.0/22'],
1664546169719015396,HARHBP01,['10.99.36.0/22'],
1664546459524006196,LASHNP01,['10.156.76.0/22'],
1664547153155017296,PHLCHP01,['10.101.108.0/22'],
1664546012194003996,GSOSHP01,['10.112.20.0/22'],
1664546641677004596,MHTFMP01,['10.97.176.0/22'],
1664547226686004396,LITSHP01,['10.118.0.0/22'],
1664547283776007696,MAFORP01,['10.157.220.0/22'],
1664546855855004496,LASFIP01,['10.151.28.0/22'],
1660918349994012296,SJCSNP01,['10.157.252.0/22'],
1664547345424010296,MSLRIP01,['10.121.184.0/22'],
1664547484237018296,SATNWP01,['10.152.188.0/22'],
1664547609803009296,PSMFIP01,['10.97.168.0/22'],
1664547396677020196,MHTSHP01,['10.103.216.0/22'],
1664547883794022696,PWMCWP01,['10.108.0.0/22'],
1664550761517018996,YNGFNP01,['10.103.100.0/22'],
1664547678468013496,SEASOP01,['10.147.36.0/22'],
1664547940590000496,SJCCBP01,['10.154.4.0/22'],
1664546918199001796,MHTGFP01,['10.107.172.0/22'],
1664548001339021096,ONTVYP01,['10.146.68.0/22'],
1664547546049001696,PHLWLP01,['10.98.244.0/22'],
1664551004968020496,SATAPP01,['10.145.44.0/22'],
1664550201652020496,DOVRIP01,['10.106.188.0/22'],
1664550814164011296,WASAFP01,['10.107.128.0/22'],
1664547820003024796,SAVSBP01,['10.115.172.0/22'],
1664550897508015896,SLCSWP01,['10.158.236.0/22'],
1664550562738023496,TUSWCP01,['10.152.60.0/22'],
1664550632273003396,SEARDP01,['10.148.196.0/22'],
1664550952988010496,DENDRP01,['10.133.144.0/22'],
1665161778867009596,PHLRDP01,['10.101.232.0/22'],
1665162365562024196,FNTCYP01,['10.131.124.0/22'],
1665161708722024396,PHLDFP01,['10.102.140.0/22'],
1665162459193013196,FNTRIP01,['10.130.132.0/22'],
1665161849942013196,CHIBDP01,['10.136.56.0/22'],
1665162999182006196,HSVRDP01,['10.127.240.0/22'],
1665163071064002696,HSVDCP01,['10.112.128.0/22'],
1665161941468015996,CHIBGP01,['10.135.100.0/22'],
1665164697132019996,RICRLP01,['10.109.232.0/22'],
1665164070965013496,BDLHMP01,['10.100.244.0/22'],
1665164761448000096,RICRTP01,['10.109.228.0/22'],
1665173964263025496,MSYCMP01,['10.117.28.0/22'],
1665164514093007096,BDLMNP01,['10.101.136.0/22'],
1665165532782001796,PHXPSP01,['10.150.176.0/22'],
1665164639145003696,CICCYP01,['10.152.92.0/22'],
1665174085056001696,MSYRMP01,['10.113.172.0/22'],
1665164573239010296,CICRIP01,['10.144.56.0/22'],
1665173824430006296,PHXTTP01,['10.148.188.0/22'],
1665175330129006696,BWIFMP01,['10.96.100.0/22'],
1665174474854009496,DABCYP01,['10.121.20.0/22'],
1665175421131011696,BWIHUP01,['10.99.64.0/22'],
1665174552352008696,DABRIP01,['10.119.136.0/22'],
1665174703704015896,DALLAP01,['10.145.168.0/22'],
1665175581109022296,DALSXP01,['10.73.140.0/22'],
1665175730593003896,HARMTP01,['10.109.200.0/22'],
1665175667196005496,DFWJRP01,['10.155.232.0/22'],
1665175271543006596,DALLSP01,['10.145.172.0/22'],
1665177088739005896,HVNFWP01,['10.102.32.0/22'],
1665175910000009196,HPNGRP01,['10.97.208.0/22'],
1665177684535006096,LCHSHP01,['10.121.76.0/22'],
1665176892087017296,ISPRIP01,['10.101.252.0/22'],
1665177758435008596,LAJCAP01,['10.149.8.0/22'],
1665176962828021596,BTRCHP01,['10.113.192.0/22'],
1665177877081017896,MCIRIP01,['10.132.116.0/22'],
1665177025162007096,MSYSHP01,['10.115.152.0/22'],
1665177819062012796,SANMMP01,['10.145.112.0/22'],
1665177954476000796,FOECYP01,['10.130.160.0/22'],
1665699661839014096,NYCEBP01,['10.109.199.96/28'],
1665675941383005496,LEXRIP01,['10.136.104.0/22'],
1665699726777023596,LEXSHP01,['10.128.32.0/22'],
1665699779429011896,SACCHP01,['10.145.100.0/22'],
1665676031288007996,LAXHTP01,['10.144.240.0/22'],
1665700607332015696,SACFOP01,['10.144.48.0/22'],
1665700650755001696,SACRCP01,['10.147.20.0/22'],
1665699839962021796,SACFMP01,['10.153.80.0/22'],
1665699902640000296,OAJTSP01,['10.121.244.0/22'],
1665676301379006396,NYCEXP01,['10.108.224.0/22'],
1666105873148002996,DALILP01,['10.70.248.0/22'],
1665676512405023596,SAVDVP01,['10.122.204.0/22'],
1665700735944001796,SNABPP01,['10.146.140.0/22'],
1665699963031023596,SAVTAP01,['10.117.68.0/22'],
1665676832631019796,SACFRP01,['10.150.180.0/22'],
1665700874414011996,SNAOCP01,['10.153.68.0/22'],
1665700933201009296,MLBVBP01,['10.123.108.0/22'],
1666191717194008096,DOHLKP01,['10.177.124.0/22'],
1665677216088021896,RICNWP01,['10.100.100.0/22'],
1665700077250021896,PBIPGP01,['10.120.176.0/22'],
1665686336523013496,RICWEP01,['10.99.96.0/22'],
1665700136753005696,PITLEP01,['10.109.184.0/22'],
1665686406970018796,SNSCYP01,['10.144.36.0/22'],
1665701012164017596,VPSCYP01,['10.115.192.0/22'],
1665700017983003496,SACROP01,['10.145.104.0/22'],
1666128665269017396,RNOELP01,[],
1665677006620002296,SACGMP01,['10.144.68.0/22'],
1665701076948024096,VPSRIP01,['10.119.216.0/22'],
1665699319524004696,SNSRIP01,['10.153.148.0/22'],
1665700202855008796,VISFIP01,['10.144.172.0/22'],
1665699408683022196,MYRCYP01,['10.117.156.0/22'],
1665699467820013996,ORFVBP01,['10.98.128.0/22'],
1665700435117003596,PITWHP01,['10.107.12.0/22'],
1665701135485006196,MEMCDP01,['10.113.56.0/22'],
1665700486587006496,TWFTWP01,['10.139.228.0/22'],
1665700548255003496,PYMFMP01,['10.97.160.0/22'],
1665699585182025096,PHFCHP01,['10.98.132.0/22'],
1665701192812025196,MEMMPP01,['10.118.12.0/22'],
1666213383334005896,CMHCHP01,['10.111.124.0/22'],
1659563086417007096,FWATSP01,['10.135.184.0/22'],
1659565586239021296,MSPMSP01,['10.130.32.0/22'],
1659565161413023996,SGFTSP01,['10.139.220.0/22'],
1659562990773019396,MCITPP01,['10.137.180.0/22'],
1659563239239017596,HOUSEP01,['10.157.60.0/22'],
1659565259886001296,TYRTRP01,['10.158.144.0/22'],
1659565751984019396,RDDRDP01,['10.152.24.0/22'],
1666279291329001796,KWIERP01,['10.177.120.0/22'],
1656447018842012996,RKHTSP01,['10.123.84.0/22'],
1660918974784003196,SATSSP01,['10.157.24.0/22'],
1659565673750001296,SGUFIP01,['10.151.192.0/22'],
1661534366638003596,MDWFSP01,['10.134.112.0/22'],
1660253939061017896,ONTCOP01,['10.153.212.0/22'],
1659565391494017796,MSOTSP01,['10.140.40.0/22'],
1660916574433006996,TUSTNP01,['10.144.144.0/22'],
1660254575211007796,MKEDEP01,['10.135.216.0/22'],
1660918029183018296,CSGRIP01,['10.112.48.0/22'],
1660916798731025396,FAYPHP01,['10.115.68.0/22'],
1661553185714022596,SPIRIP01,['10.139.28.0/22'],
1660918462902006096,INDFSP01,['10.129.36.0/22'],
1660918631933005296,SNALMP01,['10.145.132.0/22'],
1660917069371003496,SNAAOP01,['10.158.4.0/22'],
1661553141179022596,SATTWP01,['10.158.108.0/22'],
1660919037231013596,SATTDP01,['10.157.56.0/22'],
1666807242852020096,MLIAKP01,['10.139.84.0/22'],
1661552498113004496,CMHNEP01,['10.101.204.0/22'],
1661552437560004796,CHSSUP01,['10.33.112.0/22'],
1661552384687003796,CMHCEP01,['10.105.108.0/22'],
1664548308859011696,SATTNP01,['10.154.240.0/22'],
1661553503877011396,CVNTSP01,['10.73.252.0/22'],
1661553336974020496,CYSFIP01,['10.133.136.0/22'],
1659563128617010096,LNKRIP01,['10.138.148.0/22'],
1666967302823000596,DALPUP01,['10.71.12.0/22'],
1664277804358008696,KWIRIP01,['10.180.68.0/22'],
1666977653819003796,OWBFIP01,['10.134.128.0/22'],
1662903772048025296,ELPFIP01,['10.156.236.0/22'],
1662904459870018696,DSMTAP01,['10.141.24.0/22'],
1660254121524012796,MCIAKP01,['10.138.64.0/22'],
1659098175083004596,LASHHP01,['10.148.176.0/22'],
